Link,Tiempo,Likes
https://ul.waze.com/ul?ll=21.18361146%2C-86.85730934&navigate=yes&zoom=14&utm_campaign=default&utm_source=waze_website&utm_medium=lm_share_location,Último reporte hace 6 días,21
https://ul.waze.com/ul?ll=21.18417167%2C-86.82443619&navigate=yes&zoom=14&utm_campaign=default&utm_source=waze_website&utm_medium=lm_share_location,Último reporte hace 8 días,17
https://ul.waze.com/ul?ll=21.18785303%2C-86.85782433&navigate=yes&zoom=14&utm_campaign=default&utm_source=waze_website&utm_medium=lm_share_location,Último reporte hace 9h 3 min,3
https://ul.waze.com/ul?ll=21.19169435%2C-86.84915543&navigate=yes&zoom=14&utm_campaign=default&utm_source=waze_website&utm_medium=lm_share_location,Último reporte hace 9h 7 min,2
https://ul.waze.com/ul?ll=21.19241459%2C-86.87541962&navigate=yes&zoom=14&utm_campaign=default&utm_source=waze_website&utm_medium=lm_share_location,Último reporte hace 2 días,2
https://ul.waze.com/ul?ll=21.19337490%2C-86.83722496&navigate=yes&zoom=14&utm_campaign=default&utm_source=waze_website&utm_medium=lm_share_location,Último reporte hace 1 día,9
https://ul.waze.com/ul?ll=21.18593233%2C-86.86280251&navigate=yes&zoom=14&utm_campaign=default&utm_source=waze_website&utm_medium=lm_share_location,Último reporte hace 12h 44 min,0
https://ul.waze.com/ul?ll=21.19673594%2C-86.83293343&navigate=yes&zoom=14&utm_campaign=default&utm_source=waze_website&utm_medium=lm_share_location,Último reporte hace 7 días,9
https://ul.waze.com/ul?ll=21.19953674%2C-86.82666779&navigate=yes&zoom=14&utm_campaign=default&utm_source=waze_website&utm_medium=lm_share_location,Último reporte hace 16h 48 min,3
https://ul.waze.com/ul?ll=21.20401792%2C-86.85473442&navigate=yes&zoom=14&utm_campaign=default&utm_source=waze_website&utm_medium=lm_share_location,Último reporte hace 10 días,20
