Sobre,De,a,distancia,Latitud,Longitud,Tiempo,M por minuto,Hora
Av.Kabah,Arco norte,Av. Tules,750,21.19508732637198,-86.87254403,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.19505405910304,-86.87252427,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.19502350884743,-86.87250611,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.19499545370051,-86.87248944,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.19496968988109,-86.87247413,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.194946030251256,-86.87246008,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.194924302957066,-86.87244717,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.194904350180288,-86.87243531,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.19488602699206,-86.87242442,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.194869200300186,-86.87241442,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.194853747882412,-86.87240524,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.194839557498657,-86.87239681,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.19482652607574,-86.87238907,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.194814558958697,-86.87238196,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.194803569223254,-86.87237543,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.19479347704444,-86.87236943,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.19478420911676,-86.87236392,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.194775698121767,-86.87235886,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.19476788223904,-86.87235422,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.19476070469719,-86.87234995,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.19475411336147,-86.87234604,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.19474806035509,-86.87234244,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.194742501711474,-86.87233914,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.194737397054894,-86.87233611,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.19473271,-86.87233332,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.194728404418495,-86.87233076,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.194724451119818,-86.87232841,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.194720820696013,-86.87232626,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.194717486777154,-86.87232427,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.19464057598828,-86.87227851,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.19460393239284,-86.87225669,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.194569873122152,-86.8722364,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.19453821591423,-86.87221754,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.19450879136129,-86.87220001,1.675,447.761194,9
Av.Kabah,Arco norte,Av. Tules,750,21.19448144,-86.87218372,1.675,447.761194,9
